airline_sentiment,airline,text,hour_of_day,am_or_pm,day_of_week,weekend,tweet_length
negative,United,@united So disappointed in the service and the level of staff communication. Such a bummer.,2,AM,Friday,Weekday,Short
neutral,United,@United pre-dawn flight to #miami from #EWR. Annual #SOBEWFF trip. Now.,2,AM,Friday,Weekday,Short
negative,United,"Thanks @united, great news that u won't refund tickets due to a bad exchange rate. I knew u would come to your senses @gg8929 @UnitedAppeals",2,AM,Friday,Weekday,Long
positive,United,@united  Thank you for a wonderful global first class flight on your 777 to FRA. Great service. (cont) http://t.co/46n9kDcsxU,2,AM,Friday,Weekday,Long
neutral,United,"@united got it, look forward to hearing from you soon",1,AM,Friday,Weekday,Short
negative,United,@united how are you going to rectify this? Please direct me to your complaints department #stickingToDelta,1,AM,Friday,Weekday,Long
positive,United,"Thank you United! “@united: @dan_roam That's a beautiful place to stay a day longer. Have you been re-booked? If not, let me know. ^MN”",1,AM,Friday,Weekday,Long
negative,United,"@united to top it all off, your flight attendants talked loudly throug the flight, even when the lights were dimmed. Resulting in no sleep",1,AM,Friday,Weekday,Long
negative,United,"@united it seems like no one from United can help me. Lots of fingers pointed, zero people stepping up. At least the gate has Oreos",1,AM,Friday,Weekday,Long
negative,United,@united they have access to the dial that makes it faster do they?,0,AM,Friday,Weekday,Short
neutral,United,@united I'll be impressed if I actually get a response! 😜,0,AM,Friday,Weekday,Short
neutral,United,@united hi I left my asus tablet on flight to Heathrow from Newark on 16th feb and wondered how long it takes for someone to check if found?,0,AM,Friday,Weekday,Long
negative,United,"@united 1hr delay at the start, huge queues at security, no representative to meet us, rude staff at baggage reclaim  #inefficient",0,AM,Friday,Weekday,Long
negative,United,@united has the worst flight attendants. They are like those angry and drunk aunts that we all have. Everything has to be an argument.,0,AM,Friday,Weekday,Long
negative,United,@united its in black and white. EU law and all that €600 for a Cancelled Flightled flight. I want my money,23,PM,Thursday,Weekday,Long
negative,United,@united accordingly? U dont respond at all,23,PM,Thursday,Weekday,Short
negative,United,"@united ""the extra care airline"". #unitedairlines they don't care. Trust me. There #customerservice is non existent. They don't have 1",23,PM,Thursday,Weekday,Long
negative,United,"@united Another unfortunate case of bad luck, usually maintenance issue. They are now swapping planes to ONT, will get in Late Flight. :(",23,PM,Thursday,Weekday,Long
negative,United,@united it's a shame the great customer service wasn't continued in SFO. Slightly absurd,23,PM,Thursday,Weekday,Short
negative,United,@united #onlyinAmerica. 18 days and not a word from #unitedairlines #customerservices. Bad PR guys.,23,PM,Thursday,Weekday,Short
negative,United,"@united still awaiting a reply from ur customer services?  18 days, no response? Lousy #unitedairlines",23,PM,Thursday,Weekday,Long
positive,United,@united alright thank you. Much appreciated.,23,PM,Thursday,Weekday,Short
negative,United,@united has happened on other airlines and they've given out flight vouchers and been more transparent about the problems.,23,PM,Thursday,Weekday,Long
negative,United,"@united thanks, I'm booked. Just spent an extra 7 hrs in the TEN w/ no explanation. Now flying middle seat to CHAR instead of Memphis.",23,PM,Thursday,Weekday,Long
negative,United,"@united agent Rick Clifton in SEA-HOU , told him my father is dying and needed to get my handbag on the cabin. he did nothing #shameful",23,PM,Thursday,Weekday,Long
neutral,United,@united Any chance you are allowing reFlight Booking Problems yet for travel out of Denver this weekend due to impending storm?,23,PM,Thursday,Weekday,Long
negative,United,we all watched as the crew was escorted from the back to 1st class. Prebooked? Really? @united: @JenniferWalshPR Your dissatisfaction is und,23,PM,Thursday,Weekday,Long
positive,United,"@united Thanks Yup I'm all set.  It happens.   SLC ground staff were prompt,  helpful and courteous.",23,PM,Thursday,Weekday,Short
negative,United,"There were plenty of empty seats in coach ""@united: Your dissatisfaction is understood. Crew members traveling for duty are pre-booked on f""",23,PM,Thursday,Weekday,Long
negative,United,"@united all good, didn't die or anything. As they say ""you get what you pay for""!",23,PM,Thursday,Weekday,Short
positive,United,@united thank you so much. How will you be able to contact me?,22,PM,Thursday,Weekday,Short
positive,United,@united maybe on my return trip 👍,22,PM,Thursday,Weekday,Short
negative,United,"@united your staff at LaGuardia and Lagos, Nigeria were unprofessional, uncaring and not helpful. Ou",22,PM,Thursday,Weekday,Short
positive,United,"@united i got it at the gate, thanks for checking!",22,PM,Thursday,Weekday,Short
negative,United,@united U kept passengers waiting all night 4 a plane that was being put out of service.  Leaving everyone stranded for night. #inexcusable,22,PM,Thursday,Weekday,Long
positive,United,@united I especially like how you upgraded three of your crew members to first class instead of passengers. #keepitclassy #customerservice,22,PM,Thursday,Weekday,Long
neutral,United,@united hello. I got off a flight a few months ago and constantly think about your peanuts. Is there anyway you could send me some?,22,PM,Thursday,Weekday,Long
negative,United,@united Flt 359 lax to EWR. Your pilot bragged about getting to EWR early only to wait 20 min for a jetway driver. Thanks United!,22,PM,Thursday,Weekday,Long
negative,United,@united I am so happy I found my phone because this is easily the worst system I have ever heard of,22,PM,Thursday,Weekday,Short
negative,United,Really? 9+hours???? @united: @JenniferWalshPR We don't like delays and do all we can to avoid them. We'll have you on your way ASAP,22,PM,Thursday,Weekday,Long
negative,United,@united @RobBogart After I waited hours in the airport being told one fib after the other. Why can't UAL be honest with its customers?,22,PM,Thursday,Weekday,Long
neutral,United,@united round trip*,22,PM,Thursday,Weekday,Short
negative,United,"@united well. As of yet, our checked bag has already vanished and we haven't left the airport yet.",22,PM,Thursday,Weekday,Short
neutral,United,@united thanks.  Not tonight it would seem. http://t.co/WNdcEO5QlK,22,PM,Thursday,Weekday,Short
negative,United,@united a rapid trip plane ticket from Idaho to California that doesn't have problems would be wonderful,22,PM,Thursday,Weekday,Long
negative,United,@United agent did help me. My point: there's a problem &amp; I don't want it to mess up somebody else's plans. Can u flow this to tech team pls?,22,PM,Thursday,Weekday,Long
negative,United,.@united being delayed 3 hours for a one hour flight is more than frustrating. I'm also unable to get a decent meal at this hour.Never again,22,PM,Thursday,Weekday,Long
positive,United,"@united please do! She went above and beyond what she had to do, she made us her number one priority!",21,PM,Thursday,Weekday,Long
positive,United,@united you guys are awesome! Thanks!,21,PM,Thursday,Weekday,Short
positive,United,@united thnx,21,PM,Thursday,Weekday,Short
negative,United,@united I think we both have the same status (nothing). I think there was a bug in your search system.,21,PM,Thursday,Weekday,Long
positive,United,@united Anna Palm Springs gate 19  deserves a medal! Handled 30 ppl missing flights like a pro!,21,PM,Thursday,Weekday,Short
negative,United,@united I would appreciate an answer on why we weren't alerted flight had been Cancelled Flighted until plane landed.  #showsomerespect,21,PM,Thursday,Weekday,Long
negative,United,@united WTF!?!? Delay after delay. 15 hours YVR to SAN? Unacceptable. Flight Crew Availability is to blame? NEVER AGAIN with @united,21,PM,Thursday,Weekday,Long
negative,United,@united I think I left my phone on my flight. Help!,21,PM,Thursday,Weekday,Short
positive,United,@united  Great customer service again. Thanks!,21,PM,Thursday,Weekday,Short
positive,United,"@united thanks, that would be awesome.",21,PM,Thursday,Weekday,Short
negative,United,"@united hey, left my computer bag, w/computer inside, in United, filed online report, no response",21,PM,Thursday,Weekday,Short
negative,United,@united  they were empty upon takeoff. Why can't someone sit there?,21,PM,Thursday,Weekday,Short
negative,United,"@united here is my case id 8473573. Requested on 2/5, now it's 2/19... 7-10 days I'll get a response, BS!",21,PM,Thursday,Weekday,Long
positive,United,@united nawww. United is my fave airline.,21,PM,Thursday,Weekday,Short
negative,United,@united - Thanks. Formed submitted. I'm not betting someone would be honest enough to turn it in though...,21,PM,Thursday,Weekday,Long
neutral,United,"@united I have a LH return business ticket from Den to Fra.If I fly domestic with you,bag can be checked through to Fra,no need to claim?",21,PM,Thursday,Weekday,Long
neutral,United,"@united Also, a United phone representative just asked me for my web password. Is that normal?",21,PM,Thursday,Weekday,Short
negative,United,"@united €202.88 is the difference between the booked flights, do you want screen shots?",21,PM,Thursday,Weekday,Short
neutral,United,@united what is your plan to reduce delays?,21,PM,Thursday,Weekday,Short
neutral,United,@united I'm searching for flights to redeem with miles and getting different search results with 2 user accounts. Any reason why?,21,PM,Thursday,Weekday,Long
negative,United,"@united rebooked 24 hours after original flight, to say your handling of situation was bad would be an understatement.",21,PM,Thursday,Weekday,Long
negative,United,@united I would like a supervisor to talk to. Now we are waiting for a flight attendant as one just walked off &amp; left http://t.co/IpaamZT7Z2,20,PM,Thursday,Weekday,Long
neutral,United,@United What's your phone number? Customer service question.,20,PM,Thursday,Weekday,Short
neutral,United,@united - Kids left a kindle fire HD 6 onboard UA1037 (ORD-SFO) today. Row 9ABC-DEF (we had the whole row amongst the 5 of us).  Help...,20,PM,Thursday,Weekday,Long
negative,United,@united understanding the situation we waited and it was opened until 10:30pm,20,PM,Thursday,Weekday,Short
positive,United,“@united: @BattierCCIpuppy We hope to see you on board soon and thanks for the tweet. ^EY” 👏👏,20,PM,Thursday,Weekday,Short
negative,United,"@united just curious, when are you going to to finally learn #customerservice ?",20,PM,Thursday,Weekday,Short
negative,United,"@united nice 2 see U have a sense of humor. #3hourdelay Just want 2 B home but I'll settle for that beer. Once safely in the air, of course",20,PM,Thursday,Weekday,Long
neutral,United,"@united Surprised to go from 1K last year to nothing this year. What happened to the ""soft landing"" policy of no more than 1 level?",20,PM,Thursday,Weekday,Long
neutral,United,@united (2/2) pay in person at Portland airport. I will be flying from Perth. This has been done by US Air.,20,PM,Thursday,Weekday,Long
negative,United,"@united she was at the service desk at gate 21, and helped us find a flight to get us to our dest. on time when our flight got Cancelled Flightled",20,PM,Thursday,Weekday,Long
negative,United,"@united (1/2) thanks, but does not answer my question. I want to make a reservation over the phone in Perth, hold for 24hrs, and have family",20,PM,Thursday,Weekday,Long
negative,United,@united it wasn't a delay so much as a straight Cancelled Flightlation. Weather wasn't an issue either.,20,PM,Thursday,Weekday,Long
negative,United,@united thanks for ruining my wedding anniversary. Flight UA4904 from EWR to RDU is delayed by over 3 hours and will reach home the nxt day,20,PM,Thursday,Weekday,Long
negative,United,@united Cancelled Flightled my flight for some unknown reason and haven't really given me anything to make my overnight layover tolerable,20,PM,Thursday,Weekday,Long
negative,United,@united the only difference being you are both responsible and in a position to do something about them. Learn from @Delta,20,PM,Thursday,Weekday,Long
negative,United,@united Yes my flight was rebooked. I'm just losing trust in you if I want to get anywhere on time.,20,PM,Thursday,Weekday,Short
positive,United,"@united thanks, keep up the good work",20,PM,Thursday,Weekday,Short
positive,United,@united  4 reFlight Booking Problemss in last 2 days and each time united wait time was &lt;5 seconds! Kudos to you for excellent customer service!,19,PM,Thursday,Weekday,Long
negative,United,@united any solutions?,19,PM,Thursday,Weekday,Short
neutral,United,@united what do you have in mind?,19,PM,Thursday,Weekday,Short
negative,United,@united I'm over you. Evry 1st flight I take w/ you is delayed &amp; evry 2nd is on time so its missed evry time. #lastflightofthenight #breakup,19,PM,Thursday,Weekday,Long
negative,United,@united I did they did not.  I did submit a complaint on line and never heard back from that - I don't have that ID- you should find it,19,PM,Thursday,Weekday,Long
negative,United,@united it is cool. Your customer told me they didn't care either. It is expected,19,PM,Thursday,Weekday,Short
negative,United,@United is freaking worthless. I hate this airline. http://t.co/dN1if2cGwE,19,PM,Thursday,Weekday,Short
negative,United,@united not once did #US3645 leave #ORD on time this week #shameful,19,PM,Thursday,Weekday,Short
negative,United,@united very missed daughter suppose to dpt ORD @5:59pm - dpted  8:30pm -checked week's average for UA3645 -shameful!  7 day average 7:54pm,19,PM,Thursday,Weekday,Long
neutral,United,@united I understand why the pilot would get on the plane but why 1st class?  There were 5 empty coach seats near me?  I'm a Premier 1K?,19,PM,Thursday,Weekday,Long
negative,United,"@united fantastic night of waiting 3 hours for a delayed airplane, only for you to alert us flight is Cancelled Flighted when it lands. #whatstatus",19,PM,Thursday,Weekday,Long
neutral,United,"@united can someone at the airport in Portland, OR buy a ticket to be picked up and used 2days Late Flightr by other from Perth, AUSTRALIA? Thanks",19,PM,Thursday,Weekday,Long
negative,United,@united they did on a delta flight out of LAX which is why I should be compensated for my rental car there.,19,PM,Thursday,Weekday,Long
neutral,United,@united What happens on 9:11 a.m. of 9/11 2spooky 4me m8 such spook much scare,19,PM,Thursday,Weekday,Short
negative,United,@united I missed it. Set up in a hotel. Flights delayed in SFO for 6+ hours. Missing all the wedding festivities of my friend. 😞,19,PM,Thursday,Weekday,Long
positive,United,@united sent you my confirmation via DM. Thank you very much,19,PM,Thursday,Weekday,Short
negative,United,.@united board customers onto a plane with no pilot? The only thing that expedited was my time in line to book a new flight. Come on now.,19,PM,Thursday,Weekday,Long
positive,United,@united that would be great - 1k us651621,19,PM,Thursday,Weekday,Short
negative,United,@united stuck on Tarmac for the last hour. Can I have a beer?,19,PM,Thursday,Weekday,Short
negative,United,@united recent services have been very bad. My NC trip was aweful. Very disappointed and never again.,19,PM,Thursday,Weekday,Long
negative,United,@united it's freezing on the gate bridge#waitingforbags#united#EWR,19,PM,Thursday,Weekday,Short
negative,United,@united landed at 9:40pm and have been standing waiting for bags that were loaded plane side..why isn't the crew here#tiredcustomer,19,PM,Thursday,Weekday,Long
negative,United,@united @dmb41shows I need this plane to get to buffalo so I can leave tonight. Any progress?,19,PM,Thursday,Weekday,Short
negative,United,"@united I was rebooked, however it would have been nice not to have to wait an extra 90 min at the airport.  How will you make this right?",19,PM,Thursday,Weekday,Long
negative,United,"@united enough already with the poor service, old planes, ridiculous routing. 1k and time to find a new airline with status match.",19,PM,Thursday,Weekday,Long
negative,United,@united after waiting for over an hour we finally board the airplane only to find out we have to call maintenance. And this plane is cold.😡,19,PM,Thursday,Weekday,Long
negative,United,@united broke my suitcase &amp; refuses to give me a repair estimate. http://t.co/zOUOwgv3Q6,19,PM,Thursday,Weekday,Short
negative,United,@united How do you have a scheduled flight WITH NO CREW? Is there a competent person working at this airline?,19,PM,Thursday,Weekday,Long
negative,United,@united can you help 689 in Chicago get to a gate. Freezing on a runway seems like a crappy thing to do at 9pm,18,PM,Thursday,Weekday,Long
neutral,United,"@united @HiltonWorldwide @Caravannyc @MaysvilleNYC 
Let's go! Join me on my first trip back to NYC…as a tourist: 
http://t.co/egaEjtRGLb",18,PM,Thursday,Weekday,Long
negative,United,@united thanks KP.  What's going on w/4840 tonight.  Bad update online and phone. Can't u give customers good info. Not waste their time?!,18,PM,Thursday,Weekday,Long
positive,United,@united just got my lost Kindle in the mail! Thanks again.,18,PM,Thursday,Weekday,Short
neutral,United,@united is z and d code airfare refundable?,18,PM,Thursday,Weekday,Short
neutral,United,"@united no, didn't notice I was 38A until start of boarding. Assumed I was 8E. By time boarding started, GAs had cleared standbys, full flt",18,PM,Thursday,Weekday,Long
negative,United,@united 4840 You knew this flight was delayed! MHT to ALB to EWR to get crew. Your arrival is Late Flightr than the departure! Update your site!,18,PM,Thursday,Weekday,Long
negative,United,@united 4840 WTF! Why can't you update your times in a timely manner? You've known the fight was more delayed! Ur service is awful! @CNN,18,PM,Thursday,Weekday,Long
neutral,United,@united Want to book a multi-city fare. Have miles for 1of 2 flights. An option to pay for 1st flight with miles +2nd with UMP Visa? Thanks!,18,PM,Thursday,Weekday,Long
negative,United,@united waiting on plane so long missed my connecting flight it left early. That's the last flight out tonight. HELP http://t.co/hBsJ2sF17h,18,PM,Thursday,Weekday,Long
negative,United,@united ORD Gate C25 and Flt 619-  remember when customers were valuable? Is it so hard to be nice to someone lugging a guitar &amp; carryons ?,18,PM,Thursday,Weekday,Long
negative,United,@united WORST SERVICE EVER. Denied access to our flight and then moved flight 6 times. How hard is it to schedule a gate? @Delta next time.,18,PM,Thursday,Weekday,Long
negative,United,"@united I'm in Denver, my bag is in San Jose. See something wrong here.",18,PM,Thursday,Weekday,Short
negative,United,@united you know it's bad when you're praying your connecting flight is delayed because of an hour delay on the first flight #JustGetMeHome,18,PM,Thursday,Weekday,Long
negative,United,"@united playing hide and seek with the gate. ""We can't find it, it should only be a few more minutes.""",18,PM,Thursday,Weekday,Long
negative,United,"@united so our flight into ORD was delayed because of Air Force One, but the last flight to SBN is at 8:20, 5 mins from now we just landed.",18,PM,Thursday,Weekday,Long
neutral,United,@united your flights are really cheap what's the catch,18,PM,Thursday,Weekday,Short
neutral,United,@united LGJW7B. I voluntarily rerouted; 1st leg of journey was in economy and was supposed to be 8B. Res agent said she'd reserve it for me,18,PM,Thursday,Weekday,Long
negative,United,@united 5.5hrs Late Flightr and you still can't figure it out. Random text updates. #embarrassing #ua3728 http://t.co/vFTUyJh45X,18,PM,Thursday,Weekday,Long
negative,United,@united stop picking on us #CLE http://t.co/VTqE8m1L3i,18,PM,Thursday,Weekday,Short
negative,United,"@united booked flight in sept to get best price for April to usa, checked now and they are €67 cheaper, what a con unhappy customer #ripoff",18,PM,Thursday,Weekday,Long
negative,United,@united too big to properly manage flight times. There is such a thing as being on time. Or at least prepared with a gate when we land!,17,PM,Thursday,Weekday,Long
negative,United,@united I'd rather have the truth about my flight than be forced to sit here all day. Trying to get home to this. http://t.co/U69fAfqhsF,17,PM,Thursday,Weekday,Long
positive,United,@united Leaving soon. Thanks!,17,PM,Thursday,Weekday,Short
negative,United,@united another #DELAYED day. #Delayed outbound. #delayed inbound and now waiting at EWR for a gate to be ready. how is it not ready!??,17,PM,Thursday,Weekday,Long
negative,United,@united Cancelled Flighted my mileage plus award reservation G6455C same day. Have yet to see my miles back despite agent confirmation.,17,PM,Thursday,Weekday,Long
neutral,United,@united my partner and I booked individual reservations for same flight. I have Pr. Silver -- can he share my premier privileges somehow?,17,PM,Thursday,Weekday,Long
negative,United,@united 3 Gate changes in 30 minutes for flight to Roanoke and flight to sous falls in O'hare... Painful,17,PM,Thursday,Weekday,Long
negative,United,@united this is nuts they said a flight was on the ground now it's still in Albany and they won't have a plane.  Someone is compensating me,17,PM,Thursday,Weekday,Long
negative,United,"@united Doumented via link. However, now that it has been over four months with no response, what do you suggest? Or shall I not expect one?",17,PM,Thursday,Weekday,Long
negative,United,@united WHAT?! Y'all have zero concept of customer service. Oh...and now my connection is delayed too!,17,PM,Thursday,Weekday,Long
negative,United,".@united just curious why you'd board a flight without a pilot. Seems crucial to the flight process, no?",17,PM,Thursday,Weekday,Long
neutral,United,@united sent DM's,17,PM,Thursday,Weekday,Short
negative,United,@united just changed again.  This is crazy! #YourAgentsHaveNoClue http://t.co/A37N3oHOKL,17,PM,Thursday,Weekday,Short
negative,United,@united Never can get a flight out on time. 4 hour delay earlier another hour delay on my connecting flight. Makes 10 straight delays,17,PM,Thursday,Weekday,Long
negative,United,@united b/c of your delay now you are oversold by 14 passengers?!??? This is a mess! What are you going to do to compensate?,17,PM,Thursday,Weekday,Long
negative,United,@united - blamed weather lol 78 no wind and not a cloud in the sky!! Delayed both ways 4x!! RU kidding me to charge me for 1.5lb w/8 delays?,17,PM,Thursday,Weekday,Long
negative,United,@united be worse?oh you can't! delayed with no reason on the way to Lon;flight Cancelled Flighted with NO REASON less than 2 days before returning.,17,PM,Thursday,Weekday,Long
negative,United,@united flight 4841...3 gate changes on top of this.  Really hoping you can compensate with some points/mileage to my account!,17,PM,Thursday,Weekday,Long
negative,United,@united should contact me and the others on my flight who can't get their website to work. None of our info is valid! http://t.co/3zpJr7kWbk,17,PM,Thursday,Weekday,Long
negative,United,@united over an hour stuck and still not off the plane. Total failure by you and your partners in ensuring the best customer experience.,17,PM,Thursday,Weekday,Long
neutral,United,@United line up @iah #IAH @AirlineGeeks #avgeek http://t.co/dJHXvJT201,16,PM,Thursday,Weekday,Short
negative,United,@united silence is very telling,16,PM,Thursday,Weekday,Short
negative,United,@united thanks for the 2hr delay and then no ground crew when we landed. At least you didn't break my http://t.co/GCWVFuopl2,16,PM,Thursday,Weekday,Long
neutral,United,@united Bought a round trip to Chicago two days ago...today the same flight is half that! Is there any way for me to get that discount??,16,PM,Thursday,Weekday,Long
negative,United,@united Am I illiterate or is there a magic code to make your customer service site work? http://t.co/t4gcKs2bh5,16,PM,Thursday,Weekday,Long
negative,United,"@united worst airline ever! Staff is nasty, wifi down bags are delayed due to weather?? And now the belt is broken. Selling UAL stock in AM",16,PM,Thursday,Weekday,Long
neutral,United,@United Stars and Bars @iah #A320 @airlineguys @AirlineGeeks #avgeek http://t.co/mWSoGUC33p,16,PM,Thursday,Weekday,Short
negative,United,@united I'm confused. After your @Dulles_Airport agents directed us to go to your website after DELAYS nothing works! http://t.co/cypRHe5GOK,16,PM,Thursday,Weekday,Long
positive,United,"@united Had wonderful, on time flights from OGG to MSN Lost RX eyeglasses (thick) in the Admiral Club in Chicago this morning. Found?",16,PM,Thursday,Weekday,Long
negative,United,@united 50 minute wait...still at the gate with a broken jetway. Might miss connection,16,PM,Thursday,Weekday,Short
negative,United,“@united: @RobCNYC See information on our boarding process: http://t.co/gBIw9ugFNm ^KP”. I get group 1&amp;2. Just no reason on 3/5.,16,PM,Thursday,Weekday,Long
neutral,United,@united in Bogota with no wallet is no fun. :-(,16,PM,Thursday,Weekday,Short
negative,United,@united Lost my wallet on flight 1007 yesterday from Houston to Bogota. Filled out your online form. No response yet.,16,PM,Thursday,Weekday,Long
negative,United,@united one hour after departure time and still no update!,16,PM,Thursday,Weekday,Short
negative,United,@united I am now following you and see that I am not the only one experiencing and noticing a substantial downgrade in service post merger,16,PM,Thursday,Weekday,Long
negative,United,@united 40+ minutes waiting at the gate for the broken jetway. Different gate maybe?,16,PM,Thursday,Weekday,Short
negative,United,@united how can you never got a flight from austin to Houston in time for a connection ever? Ever!,16,PM,Thursday,Weekday,Short
positive,United,"@united got it right with the safety demonstration! Corporate but funny, reserved but NOT CORNY  as a… http://t.co/lwOtKIEKGU",16,PM,Thursday,Weekday,Long
negative,United,@united now sitting on the tarmac for a half hour after landing because your jetway is broken. #2daysofunitedfailures #1thingafteranother,16,PM,Thursday,Weekday,Long
negative,United,@united look at the Twitter history - as usual service non existent,16,PM,Thursday,Weekday,Short
positive,United,@united thanks for the reply. I have been in contact with Customer Care to get clarification on this issue.,16,PM,Thursday,Weekday,Long
neutral,United,@united I will give it a couple more weeks. Thank you.,16,PM,Thursday,Weekday,Short
negative,United,@united make sure you make Cancelled Flighted flight baggage and upgrade fees seem like a labyrinth so that you might be able to swindle a few $ more,16,PM,Thursday,Weekday,Long
negative,United,"@united How is this considered ""on time"" if it's arriving at destination half hour Late Flightr than scheduled? http://t.co/YMFTw1uyHr",16,PM,Thursday,Weekday,Long
negative,United,"@united thanks for trying to take my money without notice. In any other industry, you Cancelled Flight a service, a refund is issued. Cont…",16,PM,Thursday,Weekday,Long
negative,United,@united And there is no direct phone number for status match desk? I really regret Flight Booking Problems with @united now.,16,PM,Thursday,Weekday,Long
negative,United,@united yet again you disappoint. Sitting at IAD for UA3728 for 3.5hrs and you can't seem to know why the plane hasn't left Albany. #Fail,16,PM,Thursday,Weekday,Long
negative,United,@united still sitting here waiting for a plane....4 hours wasted,16,PM,Thursday,Weekday,Short
positive,United,@united thanks for the help. Wish the phone reps could be so accomidating,16,PM,Thursday,Weekday,Short
negative,United,"@united line is just getting longer and moving slower. Lady working the counter is doing great, she just needs help. #customerservicefail",16,PM,Thursday,Weekday,Long
negative,United,@united an update on flight 5979 would be great!,16,PM,Thursday,Weekday,Short
negative,United,@united wasting time at baggage claim thanks to your dfw ground crew who checked my bag in without actually checking for space #frustrated,16,PM,Thursday,Weekday,Long
negative,United,@united what is the problem with your flights to ny today,16,PM,Thursday,Weekday,Short
negative,United,@united flight was too heavy so had to fly BACK to Palm Springs (after being in the air for 30 mins),16,PM,Thursday,Weekday,Short
negative,United,@united Your boarding process sucks. You should learn from @SouthwestAir,16,PM,Thursday,Weekday,Short
negative,United,"@united ouch, delays due to mechanical issues again QRO will have to wait! Yall seem to be falling apart #alwaysdelayed #unitedfail",16,PM,Thursday,Weekday,Long
negative,United,@united my fingers are crossed that they are more capable of getting baggage from point A-&gt;B than United Airlines!,16,PM,Thursday,Weekday,Long
negative,United,"@united What happened this afternoon? Huge amt of incoming planes to SFO delayed over 1-2 hours.
Frustrating!",16,PM,Thursday,Weekday,Long
negative,United,@united not about being on my way or impatience on my part...it's about you being untruthful and not having proper systems in place,15,PM,Thursday,Weekday,Long
negative,United,@united can you maybe have more than 1 person working customer service desk in Houston airport? Line 3 rows deep 1 person working,15,PM,Thursday,Weekday,Long
positive,United,"@united I'll stick with my United flight. Thanks, though. Effort is much appreciated.",15,PM,Thursday,Weekday,Short
negative,United,"@united  Your survey is too long.  I fly a lot of segments and I'll fill it out after every trip, but not if it takes more than a minute.",15,PM,Thursday,Weekday,Long
negative,United,@united can you you think about hiring some baggage attendants at EWR? Been waiting for bags for 1 hr. United = overcharged&amp;underserved,15,PM,Thursday,Weekday,Long
positive,United,"@united Fair enough. I don't usually rant, but it's good to know someone's listening. :)",15,PM,Thursday,Weekday,Short
negative,United,@united are you telling me that you are now Cancelled Flighting my flight ??,15,PM,Thursday,Weekday,Short
negative,United,@united would be hard to be worse than last time but I'm sure you'll give it a shot,15,PM,Thursday,Weekday,Short
positive,United,@united Thank you for the Delta transfer. Will my bags go too?,15,PM,Thursday,Weekday,Short
positive,United,“@united: @SonyaSloanMD Happy to have had you on board. Please share details here: http://t.co/2TrgEMteBZ ^KP” Done!,15,PM,Thursday,Weekday,Long
negative,United,@united service staff to is less than friendly!,15,PM,Thursday,Weekday,Short
neutral,United,@united happens every time in and out of Newark.,15,PM,Thursday,Weekday,Short
negative,United,@united Can you transfer my bags too?,15,PM,Thursday,Weekday,Short
negative,United,@united I am a comedian and I promise I will make fun of you on stage tonight.,15,PM,Thursday,Weekday,Short
negative,United,"@united tried to and got through the whole 2,000 characters and I was not even done.",15,PM,Thursday,Weekday,Short
positive,United,@united we were able to get on the moon flight! Just got to our hotel in Puerto Rico! Thank you!,15,PM,Thursday,Weekday,Short
negative,United,@united you had us REBOARD without the captain.  So now we'll be sitting in here for another 20+ min? http://t.co/EEReKDf9Fq,15,PM,Thursday,Weekday,Long
negative,United,@united On flight 1712 to Houston delayed duecto engine trouble. Willl you hold my connection to Argentina at Houston since I'm Late Flight now?,15,PM,Thursday,Weekday,Long
positive,United,@united @annricord Great! Appreciate it😊,15,PM,Thursday,Weekday,Short
positive,United,"@united I was well taken care of, thanks. I've already been sent a survey request &amp; I'll share my positive experience (despite delay)",15,PM,Thursday,Weekday,Long
positive,United,@united thanks! Everything a-ok now.,15,PM,Thursday,Weekday,Short
positive,United,@united DM sent. Thanks so much for the strong customer service!!,15,PM,Thursday,Weekday,Short
negative,United,@united just delayed my flight to SLC by 2.5 hours. What gives? #snowforce,15,PM,Thursday,Weekday,Short
positive,United,@united ok thanks. I sent you a DM too. You can disregard that.,14,PM,Thursday,Weekday,Short
positive,United,@united So excited I was put on an earlier flight to get home! Woo Hoo! #travel 🎉🎉🎉,14,PM,Thursday,Weekday,Short
negative,United,@united your airline is a joke. 1 person working special services at EWR?!? Line is 15 ppl deep. GROW UP!,14,PM,Thursday,Weekday,Long
negative,United,@united More concerned that you close a club I paid alot for at 10.  Last flight 11:15p.  The construction going on is very inconvenient.,14,PM,Thursday,Weekday,Long
positive,United,@united perfect! Thank you!,14,PM,Thursday,Weekday,Short
negative,United,@united care less about the person - although he walked away while I was complaining.  A man at 10p at LAX club.  More.....,14,PM,Thursday,Weekday,Long
negative,United,@united smiling? NOT!!,14,PM,Thursday,Weekday,Short
negative,United,"@united worst airline in the world-8 delays, gate agent loses her mind over 1.5 lbs and charges me $100 on top of the $25 I already paid!!",14,PM,Thursday,Weekday,Long
neutral,United,@united will I make it with the delay?,14,PM,Thursday,Weekday,Short
negative,United,@united @bwood we'd prefer everyone hear our complaints amount your airline,14,PM,Thursday,Weekday,Short
negative,United,@united why do you bother surveying me!,14,PM,Thursday,Weekday,Short
neutral,United,@united  I'm on standby for my connecting flight. 1st on the list.  NudgeNudge I'm told there are four slots open. Save it for me.  Please.,14,PM,Thursday,Weekday,Long
negative,United,@united worst airline ever after 70+ legs of travel I am officially done.  On time is not in their vocab.  I'm taking my premier status to A,14,PM,Thursday,Weekday,Long
